u,v,weight
HADHB,GRB7,1.0
HADHB,HSP90AB1,1.0
HADHB,ADRB2,1.0
HADHB,GABARAPL2,1.0
HADHB,UBC,1.0
HADHB,RPS8,1.0
HADHB,EFTUD2,1.0
HADHB,EGLN3,1.0
HADHB,OPA1,1.0
HADHB,RCC1,1.0
HADHB,UQCRC2,1.0
HADHB,ANXA7,1.0
HADHB,MAP1LC3A,1.0
HADHB,FBXO6,1.0
HADHB,CUL7,1.0
HADHB,ELOA,1.0
HADHB,DDOST,1.0
HADHB,GABARAPL1,1.0
HADHB,VDAC1,1.0
HADHB,ATG101,1.0
HADHB,MAP1LC3C,1.0
HADHB,SMN2,1.0
HADHB,SMN1,1.0
HADHB,MED23,1.0
HADHB,RTF1,1.0
HADHB,ATP1B1,1.0
HADHB,GRK5,1.0
HADHB,LEO1,1.0
HADHB,DES,1.0
HADHB,CETN3,1.0
HADHB,PPP6R1,1.0
HADHB,MED4,1.0
HADHB,TK1,1.0
HADHB,NAF1,1.0
HADHB,MAP1LC3B,1.0
HADHB,MCM2,1.0
HADHB,PEX19,1.0
HADHB,SUOX,1.0
HADHB,IQCB1,1.0
HADHB,ZNF746,1.0
HADHB,HSPB2,1.0
HADHB,SYNDIG1,1.0
HADHB,KCNA6,1.0
HADHB,AKTIP,1.0
HADHB,COX17,1.0
HADHB,NEMF,1.0
HADHB,TNNI3K,1.0
HADHB,TUBB1,1.0
HADHB,SLC39A4,1.0
HADHB,CHCHD4,1.0
HADHB,NES,1.0
HADHB,YBEY,1.0
GTF2E2,GTF2E1,1.0
GTF2E2,GTF2A1,1.0
GTF2E2,KAT5,1.0
GTF2E2,MDC1,1.0
GTF2E2,JUN,1.0
GTF2E2,FOS,1.0
GTF2E2,MDM2,1.0
GTF2E2,SUPT16H,1.0
GTF2E2,GTF2F1,1.0
GTF2E2,GTF2F2,1.0
GTF2E2,PTPN11,1.0
GTF2E2,FOXM1,1.0
GTF2E2,RNF20,1.0
GTF2E2,TOP1,1.0
GTF2E2,ATF7IP,1.0
GTF2E2,TLN1,1.0
GTF2E2,TACC3,1.0
GTF2E2,TBP,1.0
GTF2E2,CSTF1,1.0
GTF2E2,CCNH,1.0
GTF2E2,CDK7,1.0
GTF2E2,DNM2,1.0
GTF2E2,DUSP3,1.0
GTF2E2,SND1,1.0
GTF2E2,GTF2H1,1.0
GTF2E2,SIN3A,1.0
GTF2E2,MTA2,1.0
GTF2E2,HSP90AB1,1.0
GTF2E2,MCC,1.0
GTF2E2,SF3A1,1.0
GTF2E2,LNX1,1.0
GTF2E2,SART3,1.0
GTF2E2,EFTUD2,1.0
GTF2E2,EEF1G,1.0
GTF2E2,POLR2A,1.0
GTF2E2,PACSIN2,1.0
GTF2E2,ERCC3,1.0
GTF2E2,NUP62,1.0
GTF2E2,GTF2B,1.0
GTF2E2,KLF5,1.0
GTF2E2,SRRT,1.0
GTF2E2,FEN1,1.0
GTF2E2,HIST1H1C,1.0
GTF2E2,EEF1A2,1.0
GTF2E2,NAA15,1.0
GTF2E2,MNAT1,1.0
GTF2E2,PPP1R8,1.0
GTF2E2,OIP5,1.0
GTF2E2,SLC9A3R2,1.0
GTF2E2,PICK1,1.0
GTF2E2,DIS3,1.0
GTF2E2,AK4,1.0
GTF2E2,MCTS1,1.0
GTF2E2,SEC24D,1.0
GTF2E2,EXOC8,1.0
GTF2E2,HNRNPA1,1.0
GTF2E2,TSFM,1.0
GTF2E2,RBM12,1.0
GTF2E2,GINS4,1.0
GTF2E2,MMS19,1.0
GTF2E2,GINS3,1.0
GTF2E2,CAB39,1.0
GTF2E2,VRK1,1.0
GTF2E2,LYPLA1,1.0
GTF2E2,EIF3J,1.0
GTF2E2,HDLBP,1.0
GTF2E2,ZRANB2,1.0
GTF2E2,HSCB,1.0
GTF2E2,XPA,1.0
GTF2E2,RPRD1A,1.0
GTF2E2,HIBCH,1.0
GTF2E2,TOMM34,1.0
GTF2E2,HDGFL2,1.0
GTF2E2,TPP2,1.0
GTF2E2,DNAJC2,1.0
GTF2E2,PDCD10,1.0
GTF2E2,PMVK,1.0
GTF2E2,STX7,1.0
GTF2E2,SBDS,1.0
GTF2E2,SNX5,1.0
GTF2E2,UBR5,1.0
GTF2E2,UBA6,1.0
GTF2E2,PYM1,1.0
GTF2E2,TPR,1.0
GTF2E2,UBE2T,1.0
GTF2E2,ACAA1,1.0
GTF2E2,UBLCP1,1.0
GTF2E2,ZMPSTE24,1.0
GTF2E2,YARS,1.0
GTF2E2,SPRYD4,1.0
GTF2E2,NARS,1.0
GTF2E2,WDHD1,1.0
GTF2E2,CSTF3,1.0
GTF2E2,EIF2A,1.0
GTF2E2,IBA57,1.0
GTF2E2,GINS1,1.0
GTF2E2,CMTR1,1.0
GTF2E2,HMGN5,1.0
GTF2E1,GTF2A2,1.0
GTF2E1,GTF2A1,1.0
GTF2E1,BRCA1,1.0
GTF2E1,GTF2F1,1.0
GTF2E1,GTF2F2,1.0
GTF2E1,FOXM1,1.0
GTF2E1,ATF7IP,1.0
GTF2E1,SRRM1,1.0
GTF2E1,TBP,1.0
GTF2E1,EWSR1,1.0
GTF2E1,IKBKG,1.0
GTF2E1,CDK7,1.0
GTF2E1,SND1,1.0
GTF2E1,AES,1.0
GTF2E1,GTF2H1,1.0
GTF2E1,EFTUD2,1.0
GTF2E1,POLR2A,1.0
GTF2E1,TRIM24,1.0
GTF2E1,ERCC3,1.0
GTF2E1,SRPK2,1.0
GTF2E1,GTF2B,1.0
GTF2E1,NSUN2,1.0
GTF2E1,MED21,1.0
GTF2E1,TAF1,1.0
GTF2E1,CDC14B,1.0
GTF2E1,SH3GLB2,1.0
GTF2E1,ZBTB9,1.0
GTF2E1,P4HA1,1.0
GTF2E1,CBFA2T2,1.0
GTF2E1,SNF8,1.0
GTF2E1,SH3GL1,1.0
GTF2E1,TAF11,1.0
GTF2E1,XPO5,1.0
GTF2E1,TCEA1,1.0
GTF2E1,GTF2H4,1.0
GTF2E1,TAF6,1.0
GTF2E1,ANAPC5,1.0
GTF2E1,ZSCAN1,1.0
GTF2A2,GTF2A1,1.0
GTF2A2,FOXM1,1.0
GTF2A2,HSF1,1.0
GTF2A2,TBP,1.0
GTF2A2,TERF1,1.0
GTF2A2,TERF2,1.0
GTF2A2,POLR2A,1.0
GTF2A2,TBPL1,1.0
GTF2A2,TRIM7,1.0
GTF2A2,TAF4,1.0
GTF2A2,GTF2A1L,1.0
GTF2A1,CSNK2A1,1.0
GTF2A1,CSNK2A2,1.0
GTF2A1,GTF2F1,1.0
GTF2A1,SIRT1,1.0
GTF2A1,HUWE1,1.0
GTF2A1,TBP,1.0
GTF2A1,EWSR1,1.0
GTF2A1,BCL3,1.0
GTF2A1,TERF2,1.0
GTF2A1,CREB1,1.0
GTF2A1,RNF4,1.0
GTF2A1,SNX6,1.0
GTF2A1,NFYA,1.0
GTF2A1,ZEB1,1.0
GTF2A1,CUEDC2,1.0
GTF2A1,BLMH,1.0
GTF2A1,DOCK7,1.0
GTF2A1,GCN1,1.0
GTF2A1,PDIA6,1.0
GTF2A1,GORASP2,1.0
GTF2A1,HMGB1,1.0
GTF2A1,MYLK2,1.0
GTF2A1,HSPA9,1.0
GTF2A1,BIRC7,1.0
GTF2A1,KDM5B,1.0
GTF2A1,LMNA,1.0
GTF2A1,PSMC6,1.0
GTF2A1,BOP1,1.0
GTF2A1,TBPL1,1.0
GTF2A1,NCOA6,1.0
GTF2A1,TAF1,1.0
GTF2A1,CNOT1,1.0
GTF2A1,HNRNPA1,1.0
GTF2A1,GARS,1.0
GTF2A1,PTMA,1.0
GTF2A1,SP4,1.0
GTF2A1,ATP6V1C1,1.0
GTF2A1,RDX,1.0
GTF2A1,PTCD2,1.0
GTF2A1,TRIP4,1.0
GTF2A1,TAF4,1.0
GTF2A1,MKX,1.0
GTF2A1,TAF6,1.0
GTF2A1,TAF5,1.0
GTF2A1,TAF4B,1.0
GTF2A1,TBPL2,1.0
VANGL2,SCRIB,1.0
VANGL2,TNFRSF1A,1.0
VANGL2,SPRY2,1.0
VANGL2,NTRK1,1.0
VANGL2,SDC2,1.0
VANGL2,DLG1,1.0
VANGL2,PTPN3,1.0
VANGL2,CD79B,1.0
VANGL2,CD44,1.0
VANGL2,DVL1,1.0
VANGL2,KCNA5,1.0
VANGL2,PNN,1.0
VANGL2,CDH5,1.0
VANGL2,PTGER3,1.0
VANGL2,VANGL1,1.0
VANGL2,NT5E,1.0
VANGL2,DVL3,1.0
VANGL2,TMEM17,1.0
VANGL2,JPH4,1.0
VANGL2,KCNS3,1.0
VANGL2,ZNRF4,1.0
VANGL2,TMEM9B,1.0
VANGL2,MANSC1,1.0
VANGL2,SLC39A8,1.0
VANGL2,MAGI3,1.0
VANGL2,SPINT2,1.0
VANGL2,SV2C,1.0
VANGL2,POPDC2,1.0
VANGL2,GPR156,1.0
SCRIB,TGFBR1,1.0
SCRIB,STX4,1.0
SCRIB,CTNNB1,1.0
SCRIB,MAP3K3,1.0
SCRIB,FOXH1,1.0
SCRIB,ACTN1,1.0
SCRIB,ITGA4,1.0
SCRIB,CDH1,1.0
SCRIB,TGFBR2,1.0
SCRIB,MAPK3,1.0
SCRIB,MAPK1,1.0
SCRIB,APC,1.0
SCRIB,PRKCA,1.0
SCRIB,MET,1.0
SCRIB,TJP2,1.0
SCRIB,WWTR1,1.0
SCRIB,CFTR,1.0
SCRIB,PPP1CC,1.0
SCRIB,HSP90AA1,1.0
SCRIB,GRIN2B,1.0
SCRIB,NTRK1,1.0
SCRIB,PPP1CB,1.0
SCRIB,GIT1,1.0
SCRIB,ARHGEF7,1.0
SCRIB,HTR2C,1.0
SCRIB,CRHR1,1.0
SCRIB,PPP1CA,1.0
SCRIB,TSHR,1.0
SCRIB,RPS6KA2,1.0
SCRIB,RALBP1,1.0
SCRIB,ACTN3,1.0
SCRIB,TRIP6,1.0
SCRIB,LNX1,1.0
SCRIB,ACTN2,1.0
SCRIB,KCNJ4,1.0
SCRIB,ACTN4,1.0
SCRIB,CNPY3,1.0
SCRIB,GUCY1A2,1.0
SCRIB,DCUN1D1,1.0
SCRIB,FBF1,1.0
SCRIB,PHLPP1,1.0
SCRIB,LPP,1.0
SCRIB,KCNA5,1.0
SCRIB,ATP2B2,1.0
SCRIB,FN1,1.0
SCRIB,ADRA1D,1.0
SCRIB,PKP4,1.0
SCRIB,PTGDR,1.0
SCRIB,CTNND2,1.0
SCRIB,UBE3A,1.0
SCRIB,TSG101,1.0
SCRIB,AKAP1,1.0
SCRIB,SLC4A7,1.0
SCRIB,VPS11,1.0
SCRIB,SLC4A4,1.0
SCRIB,TMEM17,1.0
SCRIB,OBSL1,1.0
SCRIB,TANC1,1.0
SCRIB,RPRD1B,1.0
SCRIB,FASTKD5,1.0
SCRIB,SSTR3,1.0
SCRIB,VEPH1,1.0
SCRIB,OR5F1,1.0
SCRIB,LGR4,1.0
SCRIB,VCAM1,1.0
SCRIB,KCNB2,1.0
SCRIB,WTIP,1.0
SCRIB,STARD8,1.0
SCRIB,CCDC8,1.0
DVL2,PARD6A,1.0
DVL2,GRB2,1.0
DVL2,TP53,1.0
DVL2,TSC2,1.0
DVL2,BCL6,1.0
DVL2,CSNK2A1,1.0
DVL2,WWOX,1.0
DVL2,RUNX2,1.0
DVL2,GOLGA2,1.0
DVL2,ITCH,1.0
DVL2,PLK1,1.0
DVL2,CTNNB1,1.0
DVL2,GRAP2,1.0
DVL2,DAB2,1.0
DVL2,SQSTM1,1.0
DVL2,C1QBP,1.0
DVL2,SIRT1,1.0
DVL2,AKT1,1.0
DVL2,FLNB,1.0
DVL2,SMURF1,1.0
DVL2,TAB1,1.0
DVL2,APC,1.0
DVL2,EGR1,1.0
DVL2,PRKCA,1.0
DVL2,HSPA5,1.0
DVL2,PIK3R4,1.0
DVL2,DACT1,1.0
DVL2,AXIN1,1.0
DVL2,WWTR1,1.0
DVL2,CUL3,1.0
DVL2,PLCG2,1.0
DVL2,LYN,1.0
DVL2,NTRK1,1.0
DVL2,TRAF2,1.0
DVL2,ARRB2,1.0
DVL2,ZBTB17,1.0
DVL2,BAMBI,1.0
DVL2,WT1,1.0
DVL2,IRS1,1.0
DVL2,DAAM1,1.0
DVL2,AP2M1,1.0
DVL2,ABL1,1.0
DVL2,WWP1,1.0
DVL2,IRS2,1.0
DVL2,RHOA,1.0
DVL2,RAC1,1.0
DVL2,YES1,1.0
DVL2,WAS,1.0
DVL2,ARRB1,1.0
DVL2,PRKCB,1.0
DVL2,XPO1,1.0
DVL2,AES,1.0
DVL2,HIP1,1.0
DVL2,IQGAP1,1.0
DVL2,MAP3K1,1.0
DVL2,SNIP1,1.0
DVL2,PPM1A,1.0
DVL2,STK11,1.0
DVL2,FZD4,1.0
DVL2,PRKCG,1.0
DVL2,DVL1,1.0
DVL2,FZD5,1.0
DVL2,DIXDC1,1.0
DVL2,PRG2,1.0
DVL2,BYSL,1.0
DVL2,ATG16L1,1.0
DVL2,SORBS3,1.0
DVL2,CSNK1E,1.0
DVL2,PRKAA1,1.0
DVL2,NUMA1,1.0
DVL2,U2AF2,1.0
DVL2,EGLN3,1.0
DVL2,RUSC1,1.0
DVL2,CPSF7,1.0
DVL2,MAGOHB,1.0
DVL2,AKAP9,1.0
DVL2,ATG14,1.0
DVL2,BAG3,1.0
DVL2,MAP1LC3A,1.0
DVL2,PRPF31,1.0
DVL2,GABARAP,1.0
DVL2,TPM3,1.0
DVL2,SCNM1,1.0
DVL2,RHOXF2,1.0
