u,v,weight
PROP1,APPL1,1.0
PROP1,TEX12,1.0
PROP1,CALM3,1.0
PROP1,CALM2,1.0
PROP1,CALM1,1.0
PROP1,HK3,1.0
PROP1,ZFP1,1.0
PROP1,FAM20C,1.0
PROP1,CAPN7,1.0
PROP1,ETF1,1.0
PROP1,TCEA2,1.0
PROP1,HOMER1,1.0
PROP1,VPREB1,1.0
PROP1,TSKS,1.0
PROP1,CSE1L,1.0
PROP1,UBE2R2,1.0
PROP1,TSR2,1.0
PROP1,RAD52,1.0
PROP1,MISP,1.0
PROP1,RFTN2,1.0
PROP1,TLE1,1.0
PROP1,PHF19,1.0
PROP1,CCKBR,1.0
PROP1,SMARCD1,1.0
PROP1,INTS11,1.0
PROP1,INTS10,1.0
PROP1,CDR2L,1.0
PROP1,TFAP2D,1.0
PROP1,CNTN1,1.0
PROP1,MRI1,1.0
PROP1,MAPRE3,1.0
PROP1,EFEMP1,1.0
PROP1,NAA11,1.0
PROP1,ZNF503,1.0
PROP1,TBC1D21,1.0
PROP1,TBCEL,1.0
PROP1,DUPD1,1.0
PROP1,HMGB3,1.0
PROP1,BEX1,1.0
PROP1,OXER1,1.0
PROP1,TNFAIP8L2-SCNM1,1.0
PROP1,SCNM1,1.0
PROP1,CDKN2D,1.0
PROP1,MRPS6,1.0
PROP1,NDOR1,1.0
PROP1,KCTD1,1.0
PROP1,KRTAP19-6,1.0
PROP1,BEX2,1.0
PROP1,C1orf94,1.0
PROP1,GRM2,1.0
PROP1,SMUG1,1.0
PROP1,TEKT4,1.0
PROP1,KRTAP19-1,1.0
PROP1,FCRL4,1.0
PROP1,TMEM42,1.0
PROP1,LRRC45,1.0
PROP1,DUS1L,1.0
PROP1,OLIG3,1.0
PROP1,CRYBA1,1.0
PROP1,PARVG,1.0
PROP1,HDHD3,1.0
PROP1,C11orf1,1.0
PROP1,SOX10,1.0
PROP1,MYL7,1.0
PROP1,STRA8,1.0
PROP1,ZNF319,1.0
PROP1,TSPO2,1.0
PROP1,KRTAP6-1,1.0
PROP1,CDKL3,1.0
PROP1,PNKP,1.0
PROP1,ATP6V0D2,1.0
PROP1,CHRND,1.0
PROP1,OR1J2,1.0
PROP1,RTP4,1.0
PROP1,CFD,1.0
PROP1,RAB3C,1.0
PROP1,BAGE4,1.0
PROP1,DEFB115,1.0
PROP1,BCL2L15,1.0
PROP1,GSTA3,1.0
PROP1,TMEM45A,1.0
PROP1,PGBD2,1.0
PROP1,AMY2A,1.0
PROP1,ZNF491,1.0
PROP1,MAGEH1,1.0
PROP1,MST1,1.0
PROP1,FAM166A,1.0
PROP1,ROPN1L,1.0
PROP1,SLC28A2,1.0
PROP1,AACS,1.0
PROP1,OTOS,1.0
PROP1,NAA35,1.0
PROP1,AK3,1.0
PROP1,WFDC13,1.0
PROP1,SDHAF1,1.0
PROP1,DNAJC24,1.0
PROP1,OTUD6B,1.0
PROP1,PHOSPHO2,1.0
PROP1,C16orf72,1.0
PROP1,EIF1AD,1.0
PROP1,HIC2,1.0
PROP1,POLR1C,1.0
PROP1,POLR3GL,1.0
PROP1,PROZ,1.0
PROP1,SAMD11,1.0
PROP1,COX6B2,1.0
PROP1,PCGF2,1.0
PROP1,HES6,1.0
PROP1,C2orf66,1.0
PROP1,WARS2,1.0
PROP1,PPEF1,1.0
PROP1,SULT2B1,1.0
PROP1,UFSP1,1.0
PROP1,ZBTB45,1.0
PROP1,ZC2HC1B,1.0
PROP1,CXorf38,1.0
PROP1,TNFAIP2,1.0
PROP1,SH2D1B,1.0
PROP1,DTD2,1.0
PROP1,PILRB,1.0
PROP1,UBXN2B,1.0
PROP1,GRHL2,1.0
MAGEA11,LNX1,1.0
MAGEA11,TRIM27,1.0
MAGEA11,EP300,1.0
MAGEA11,DLGAP1,1.0
MAGEA11,MED28,1.0
MAGEA11,MYOZ1,1.0
